geneName	L21.Seq29.FA.11.WT.I	L22.Seq29.FA.11.KO.I	L23.Seq29.FA.12.WT.I	L24.Seq29.FA.12.KO.I	L25.Seq29.FA.13.WT.I	L26.Seq29.FA.13.KO.I	L27.Seq29.FA.14.WT.I	L28.Seq29.FA.14.KO.I	L29.Seq29.FA.15.WT.I	L30.Seq29.FA.15.KO.I
0610005C13Rik	0	3	8	4	0	2	12	2	3	5
0610006L08Rik	0	0	0	0	0	0	0	0	0	0
0610009B22Rik	183	191	284	283	218	217	288	269	175	273
0610009E02Rik	3	4	1	1	3	6	1	1	0	4
0610009L18Rik	44	43	43	55	80	55	47	47	47	84
0610009O20Rik	169	180	150	198	121	128	174	190	94	141
0610010F05Rik	533	708	718	634	554	566	614	572	545	747
0610010K14Rik	33	19	33	27	26	37	30	42	14	37
0610012D04Rik	1	0	0	1	0	0	0	2	0	0
0610012G03Rik	539	473	439	667	599	613	752	564	306	809
0610025J13Rik	0	0	0	0	0	0	0	0	0	0
0610030E20Rik	984	930	1127	775	856	813	1049	973	765	988
0610031O16Rik	0	0	0	0	0	0	0	0	0	0
0610033M10Rik	0	0	0	0	0	0	0	0	0	0
0610037L13Rik	573	494	429	474	533	469	614	576	401	622
0610038B21Rik	12	12	18	14	16	10	18	12	7	14
0610039K10Rik	9	6	3	5	5	5	6	3	0	6
0610040B10Rik	59	54	38	30	56	47	85	46	40	79
0610040F04Rik	5	12	6	9	4	5	8	12	17	25
0610040J01Rik	0	1	1	6	0	1	0	0	7	3
0610043K17Rik	2	0	0	2	0	1	1	2	0	0
1010001B22Rik	3	1	3	1	6	2	2	3	2	8
1010001N08Rik	0	0	0	0	0	0	0	0	0	0
1110002E22Rik	0	0	0	0	0	0	0	0	0	0
1110002J07Rik	4	0	0	0	3	5	0	0	0	0
1110002L01Rik	113	93	99	97	78	96	80	110	39	127
1110002O04Rik	0	0	0	1	0	0	0	0	0	0
1110003F10Rik	6	10	14	20	4	5	2	10	9	7
1110004E09Rik	335	340	366	373	339	346	408	452	218	325
1110004F10Rik	2400	2250	2190	2237	2159	2292	2605	2809	1988	3365
1110006O24Rik	22	32	41	53	35	36	42	29	21	47
1110008E08Rik	0	0	0	0	0	0	0	0	0	0
1110008F13Rik	604	478	546	590	611	566	758	612	339	803
1110008L16Rik	232	252	450	207	260	237	263	236	259	272
1110008P14Rik	634	498	436	795	738	683	869	734	458	891
1110012L19Rik	393	300	415	336	319	351	446	396	220	514
1110015O18Rik	0	0	0	0	1	0	0	0	0	0
1110017D15Rik	0	0	1	0	4	0	0	0	0	0
1110018N20Rik	2	0	0	1	0	0	0	0	0	0
1110019B22Rik	0	0	0	0	0	0	0	0	0	0
1110019D14Rik	15	18	21	13	20	24	35	42	20	25
