Gene	L21.D20.Tox.WT1_S6	L22.D20.Tox.WT2_S7	L23.D20.Tox.WT3_S8	L24.D20.Tox.WT4_S9	L25.D20.Tox.WT5_S10	L26.D20.Tox.KO1_S11	L27.D20.Tox.KO2_S12	L28.D20.Tox.KO3_S13	L29.D20.Tox.KO4_S14	L30.D20.Tox.KO5_S15
0610005C13Rik	1	3	2	1	6	1	2	2	1	2
0610006L08Rik	0	0	0	0	0	0	0	0	0	0
0610009B22Rik	164	126	150	208	143	185	235	189	186	263
0610009E02Rik	7	3	6	2	3	4	5	2	5	5
0610009L18Rik	44	24	24	45	27	39	77	47	31	56
0610009O20Rik	134	120	144	168	120	196	181	140	166	198
0610010F05Rik	238	187	291	380	239	369	428	351	334	317
0610010K14Rik	27	30	18	38	39	67	61	51	62	60
0610012D04Rik	6	0	1	1	2	1	1	0	0	0
0610012G03Rik	474	341	301	565	453	541	611	465	778	786
0610025J13Rik	0	0	0	0	0	0	0	0	0	0
0610030E20Rik	828	663	839	695	811	1062	1171	814	925	806
0610031O16Rik	0	0	0	0	0	0	0	0	0	2
0610033M10Rik	0	0	0	0	0	0	0	2	0	0
0610037L13Rik	663	727	738	949	772	1256	1459	991	1291	1176
0610038B21Rik	17	15	14	31	13	19	27	16	28	29
0610039K10Rik	3	3	4	6	4	1	1	3	1	4
0610040B10Rik	24	19	19	38	36	25	65	16	29	35
0610040F04Rik	8	3	5	14	1	13	11	7	12	5
0610040J01Rik	5	0	1	13	2	11	0	1	0	8
0610043K17Rik	6	2	5	5	6	5	7	6	2	2
1010001B22Rik	3	2	6	8	5	5	12	3	9	8
1010001N08Rik	0	0	0	0	0	0	0	0	0	0
1110002E22Rik	0	0	0	0	0	0	0	0	0	0
1110002J07Rik	0	0	1	1	0	0	4	6	1	5
1110002L01Rik	89	89	99	84	99	122	111	93	109	100
1110002O04Rik	0	0	0	0	0	0	0	2	0	0
1110003F10Rik	17	3	10	11	3	18	17	8	24	20
1110004E09Rik	399	280	281	439	330	460	535	368	507	584
1110004F10Rik	1886	1494	1750	2643	1900	2436	3062	1893	2857	2708
1110006O24Rik	35	25	26	31	28	26	42	31	57	45
1110008E08Rik	0	0	0	0	0	0	0	0	0	0
1110008F13Rik	526	370	390	616	412	538	593	452	679	835
1110008L16Rik	110	139	131	161	142	229	269	169	255	228
1110008P14Rik	627	383	351	873	629	550	722	522	813	781
1110012L19Rik	325	275	272	337	310	396	503	321	517	444
1110015O18Rik	0	0	0	0	0	0	0	0	0	0
1110017D15Rik	0	0	0	0	0	1	0	2	0	0
1110018N20Rik	0	0	0	0	0	1	1	1	1	0
1110019B22Rik	0	0	0	0	0	0	0	0	0	0
1110019D14Rik	19	21	19	32	22	22	41	35	51	51
1110020A21Rik	11	12	4	28	1	14	14	8	14	27
1110025L11Rik	0	0	0	0	0	0	0	0	0	0
1110025M09Rik	11	5	4	10	8	6	12	8	3	7
1110028F11Rik	3	0	2	0	0	5	13	1	7	7
1110028F18Rik	0	0	0	0	0	0	0	1	0	0
1110032A03Rik	147	74	87	197	101	152	186	104	209	164
1110032F04Rik	5	10	1	8	0	26	39	34	47	30
1110034G24Rik	326	269	283	430	308	484	550	386	567	523
1110035H17Rik	2	1	1	9	7	3	3	3	8	11
1110036E04Rik	1	0	0	0	0	0	0	0	0	0
1110038B12Rik	38	32	29	47	38	50	61	44	55	88
1110038F14Rik	830	636	567	1013	812	798	1121	672	976	1165
1110046J04Rik	8	6	14	7	12	16	15	7	8	8
1110051M20Rik	102	66	70	146	83	158	232	180	245	222
1110057P08Rik	0	0	0	0	0	0	0	0	0	0
1110059E24Rik	332	258	329	565	330	468	581	389	545	903
1110059G10Rik	385	307	289	424	372	509	561	344	530	421
1110060G06Rik	0	0	0	0	0	0	0	0	0	0
1110065P20Rik	30	19	24	40	34	34	40	27	43	38
1190001M18Rik	0	0	0	0	0	0	0	0	0	0
