Gene	L11.D8.Tox.KO1.Tim3p_S11	L13.D8.Tox.KO2.Tim3p_S13	L15.D8.Tox.KO3.Tim3p_S15	L17.D8.Tox.KO4.Tim3p_S2	L19.D8.Tox.KO5.Tim3p_S4	L1.D8.Tox.WT1.Tim3p_S1	L3.D8.Tox.WT2.Tim3p_S3	L5.D8.Tox.WT3.Tim3p_S5	L7.D8.Tox.WT4.Tim3p_S7	L9.D8.Tox.WT5.Tim3p_S9
0610005C13Rik	6.61749754408537	1.64232446460139	2.55949327297222	5.77498634571696	3.27216420717986	2.88714181204967	0.942196572351043	1.88547662339311	10.7959745725184	0.88837331340035
0610009B22Rik	332.52925159029	293.154916931349	294.341726391805	227.534462021248	330.488584925166	299.300367849149	333.537586612269	360.126035068084	316.322054974788	292.274820108715
0610009E02Rik	4.13593596505335	2.46348669690209	5.11898654594443	0	1.63608210358993	2.88714181204967	4.71098286175521	5.65642987017933	3.23879237175551	1.7767466268007
0610009L18Rik	51.2856059666616	55.0178695641467	40.0987279432314	33.4949208051584	44.1742167969281	50.0437914088609	18.8439314470209	50.907868831614	41.0247033755698	49.7489055504196
0610009O20Rik	114.151832635473	141.23990395572	147.597445408064	129.35969414406	206.146345052331	193.438501407328	165.826596733784	147.067176624663	133.870084699228	150.135089964659
0610010F05Rik	727.09754265638	774.355985059557	582.711301813341	703.393336908326	862.215268591892	706.387363348152	643.520258915762	658.974079875892	659.634046380872	785.32200904591
0610010K14Rik	24.8156157903201	34.4888137566293	26.4480971540462	17.3249590371509	8.18041051794964	31.7585599325464	16.9595383023188	17.9120279222346	14.0347669442739	39.9767991030158
0610012D04Rik	2.48156157903201	0.821162232300697	0.853164424324072	1.15499726914339	3.27216420717986	0	2.82658971705313	1.88547662339311	0	0
0610012G03Rik	731.233478621433	786.673418544068	791.736585772739	593.668596339704	536.634929977497	556.25598912157	625.618524041092	998.359872086652	817.25527513964	676.940464811067
0610030E20Rik	726.270355463369	681.564652809578	764.435324194369	1011.77760776961	868.759597006252	895.976342339414	924.294837476373	902.200564293603	925.215020864824	949.671072024974
0610037L13Rik	473.151074402104	550.999857873768	499.101188229582	480.478863963651	513.729780527237	554.331227913537	537.052046240094	674.057892863037	582.982626915992	612.089212932841
