Gene	L21.Seq29.FA.11.WT.I	L22.Seq29.FA.11.KO.I	L23.Seq29.FA.12.WT.I	L24.Seq29.FA.12.KO.I	L25.Seq29.FA.13.WT.I	L26.Seq29.FA.13.KO.I	L27.Seq29.FA.14.WT.I	L28.Seq29.FA.14.KO.I	L29.Seq29.FA.15.WT.I	L30.Seq29.FA.15.KO.I
0610005C13Rik	1.86487784969504	1.88772613747747	1.91958984291898	1.89378245075864	1.86547426803267	1.88043102591716	1.93727009927061	1.8772516720808	1.89288628033567	1.89347396582635
0610009B22Rik	7.67748574421456	7.77875582900689	7.98129458064128	8.00416417859191	7.86749646120982	7.860754720631	7.90692413159842	7.86823697836165	7.85689010439665	7.82452887493029
0610009E02Rik	1.2378424870758	1.24774152169883	1.22487947697345	1.22520279674887	1.24064650552913	1.26236827319784	1.22384924559294	1.22392056645475	1.2187488848787	1.24081767180015
0610009L18Rik	5.67377506457876	5.70000958402397	5.67950788256564	5.75414425365884	5.896932317534	5.76846292182103	5.66982030155851	5.67202786888123	5.78292470710933	5.81341999329086
0610009O20Rik	7.2619476850284	7.36889917092345	7.22261621346697	7.39937871715223	7.16091005604989	7.18583218539566	7.23459604128298	7.28760609138875	7.13896318476483	7.09143078119833
0610010F05Rik	9.0885958053588	9.43376912985786	9.37513748641705	9.3005611046914	9.23363089513841	9.24649480187555	9.13803141747532	9.08795627763527	9.3909305699518	9.23917746055941
0610010K14Rik	4.86341574911246	4.79880425664107	4.87180598812396	4.84297181160345	4.84590742310473	4.91207506885519	4.83332299132886	4.89709692954259	4.78991895257885	4.85641021471058
0610012G03Rik	9.03877633961558	9.0367757235746	8.91282637986467	9.28536992503783	9.24047865086971	9.25504347771258	9.24917661603162	9.01794948491529	8.86619780181324	9.24874528459435
0610030E20Rik	9.8422718178566	9.90636931247732	10.0073166781345	9.7047224002812	9.84124535565054	9.79005793160903	9.82791364379661	9.76897838371225	9.92235268644503	9.70922207256123
0610037L13Rik	9.03497773307699	9.0179879727562	8.84148305750315	8.94891708736028	9.08882945238482	8.97980383953848	9.02617739603676	8.98159406735159	9.02168053342742	8.97663982523767
0610038B21Rik	3.6902721419818	3.70050207114623	3.73199684067008	3.71010896447335	3.72882869471556	3.68689760125437	3.71896112753744	3.68492919545261	3.67807785267582	3.69004737771754
