Gene	L21.D20.Tox.WT1_S6	L22.D20.Tox.WT2_S7	L23.D20.Tox.WT3_S8	L24.D20.Tox.WT4_S9	L25.D20.Tox.WT5_S10	L26.D20.Tox.KO1_S11	L27.D20.Tox.KO2_S12	L28.D20.Tox.KO3_S13	L29.D20.Tox.KO4_S14	L30.D20.Tox.KO5_S15
0610005C13Rik	1.10029775484981	1.13651130522414	1.11694911594796	1.0962650791423	1.17407707379002	1.09479436265365	1.1029521894484	1.11425108254313	1.09413760372115	1.1069679387459
0610009B22Rik	7.55144989895207	7.41281797535694	7.48920011639352	7.55528567459743	7.39747775181182	7.38963220452767	7.43544367734395	7.60356406399229	7.35951293088542	7.66042131713607
0610009E02Rik	2.11325862867293	2.05597520328087	2.09911791465759	2.02786734679357	2.04875867397114	2.04937275719069	2.05138588418204	2.03299591979299	2.0586844449343	2.06073590180362
0610009L18Rik	5.4085297135318	5.21459591628206	5.19135934590635	5.32322084478845	5.20430257864844	5.2353760123868	5.43604092630494	5.404644975416	5.14918308756387	5.36964331902093
0610009O20Rik	7.28667925694975	7.26656443171189	7.34774507593192	7.28137462284603	7.16112494635371	7.32562291085446	7.1345073902326	7.26231766482634	7.16897679809141	7.32602471871596
0610010F05Rik	8.18200822426405	8.04733653308865	8.36916910773041	8.39163829845406	8.13081208482463	8.27838162944544	8.2511075170432	8.46212993411002	8.15001365960636	8.13539363538082
0610010K14Rik	5.310627951251	5.37638554544474	5.19761118090483	5.34561879892962	5.42037809593961	5.54086436025066	5.42154580042669	5.529060331313	5.48525465015332	5.48622458576269
0610012D04Rik	0.407405397409784	0.31225795558688	0.328832575043408	0.325074488030206	0.34317625148508	0.323762186435464	0.321549838394997	0.311794713558204	0.311059539541713	0.311138794791836
0610012G03Rik	9.0869935231831	8.85058040156107	8.66593655496148	9.03065581952749	8.98180036261839	8.89607510907726	8.84109414279481	8.99369808957555	9.20748872445143	9.25299494120035
0610030E20Rik	9.87823743811369	9.73528616044191	9.90174507642802	9.46334759191975	9.79194918500892	9.79545335182462	9.7121925912522	9.78155271952656	9.60839808423109	9.50556543448978
0610037L13Rik	9.70562331705445	9.88402664385074	9.82396644623626	9.83221422239653	9.79583576756134	10.0230268647414	9.99290452045136	10.0390561883917	10.0047341493462	9.94454022924711
0610038B21Rik	4.32389290551565	4.31469493154788	4.28531202377519	4.42046122851151	4.25783613767184	4.27713582882907	4.31339846982209	4.29434299872886	4.35442777574432	4.37271585826209
0610039K10Rik	1.63502163972061	1.63901747721371	1.65137217977901	1.66354788745655	1.64715080792809	1.59645454793204	1.59369796830701	1.63151165041806	1.59572459332576	1.63280843234952
0610040B10Rik	4.84162131273264	4.79992071789391	4.7804549496284	4.91522179195395	4.95569471937386	4.76148167920588	5.01786884897765	4.7199062727173	4.78810460807407	4.85337177453125
0610040F04Rik	2.91107169129773	2.83934716886237	2.86673700512793	2.95706898004529	2.80030914281342	2.93250646773921	2.89094497613996	2.88859103812196	2.91615246482082	2.84162044397817
0610040J01Rik	1.94352286097576	1.86224101898171	1.8787353582977	2.02595044459415	1.89299198410745	1.99111296298601	1.85768031391175	1.87681065434658	1.85854882185903	1.95621869704822
0610043K17Rik	2.22968581065525	2.17017992306889	2.21514354850296	2.19830388377219	2.22437985517307	2.19237825384502	2.20255970164686	2.2232428694787	2.15470568882606	2.15573472962203
1010001B22Rik	2.47756523767621	2.46490048041969	2.52478797204634	2.52969300704791	2.50405717097076	2.48616012450174	2.54432632112651	2.47367127987209	2.52781422698817	2.52003549811457
1110002J07Rik	0.693026911051585	0.693338326918421	0.709582222876862	0.705699984349158	0.692802207742181	0.691955474696384	0.733023875024324	0.781007633738854	0.703740443460617	0.751595365740985
1110002L01Rik	6.66412903338668	6.71707878192194	6.73914675315586	6.48748643924544	6.69219537842726	6.65598414830945	6.48775435591136	6.64355022907504	6.55735880789886	6.52699308112846
1110003F10Rik	3.69201353128704	3.49303305634719	3.59690404950253	3.57582673187476	3.48316266766761	3.63896663495579	3.59882624731173	3.55650850918546	3.68912926152756	3.65756457819165
1110004E09Rik	8.80784839345173	8.55484363430096	8.49098112896802	8.6775311127694	8.5710185372506	8.6315562588424	8.605482762607	8.65911957536036	8.68055893850083	8.84913499588229
1110004F10Rik	11.1210416350681	10.96077530519	11.0508314747997	11.2332257941415	11.0612163972653	11.0419100960734	11.0955306848189	11.042425541258	11.1651274881373	11.1454982965061
1110006O24Rik	5.14021913689047	5.05214100498036	5.04112009845182	5.01936501216481	5.04143292651252	4.94218701725963	5.02756660715703	5.07010063125513	5.18780759196527	5.10954366761326
1110008F13Rik	9.20322025797055	8.94187217574571	8.92167629975313	9.12899686306798	8.90467431782589	8.90441929294546	8.82623260759458	8.98011709411751	9.08641064100311	9.32737269207523
1110008L16Rik	7.23494883743851	7.46850731518775	7.36798930895216	7.33938806081681	7.37372574025194	7.5373727082183	7.52358904607882	7.49621377560636	7.58784766824602	7.5262088035524
1110008P14Rik	9.44271778092821	9.03890546154209	8.88600991692117	9.54257066602057	9.38258594235255	8.98846916742047	9.0782570400046	9.18362794775633	9.32804666206609	9.32323816179099
1110012L19Rik	8.5529763244065	8.47609558514866	8.39965944825892	8.37306406208123	8.45205588738206	8.43214895102478	8.48739016357492	8.47118173015429	8.63762701771336	8.52836341455711
1110019D14Rik	4.81176821590463	4.86106742110514	4.81424508816435	4.89180482193831	4.83293160915746	4.76432966962919	4.88340181553926	4.97424098965453	5.00643794614451	5.01994398140414
1110020A21Rik	3.62816640386807	3.6567262316227	3.52159482282156	3.78058373509395	3.46794349215718	3.61447042165609	3.58833923971192	3.57420970361022	3.60760895676939	3.74440669271415
1110025M09Rik	2.934659820128	2.85314884922862	2.83133239898298	2.89123736366358	2.88460371208817	2.8343964810926	2.88107138877534	2.88309436101657	2.79628996530339	2.84531776010464
1110028F11Rik	1.68843318541082	1.64090905225387	1.6730032824764	1.6388031808447	1.63988011118017	1.69830608517047	1.76484904122648	1.65511054276453	1.71782751900445	1.72042143830814
1110032A03Rik	7.26020474321206	6.8443374722875	6.89871941195305	7.30782457395888	6.94808790185798	7.04463673691083	7.06092853647528	6.95827370734682	7.24595192888663	7.09198746537507
1110032F04Rik	3.93335250576878	4.02650521697953	3.86491322464657	3.95115951556621	3.84379924299204	4.13878201609549	4.20379424523231	4.2939750308178	4.30938861294335	4.17484243840194
1110034G24Rik	8.60786905947187	8.50831861906354	8.48729695595092	8.64809190231482	8.49797584858272	8.66926858298002	8.62144450462649	8.69376077188583	8.77678648900191	8.73343540258083
1110035H17Rik	2.12906924960432	2.11482663604134	2.11304858742433	2.20946571767069	2.20013310562888	2.13044734326859	2.12384236667063	2.14133252045148	2.18500487937328	2.22087129010981
1110038B12Rik	5.51327645384363	5.47872830686065	5.41578486213386	5.50447164903207	5.48806064550808	5.49052406192902	5.49838238581415	5.54219972727274	5.51107217666012	5.75074509839154
1110038F14Rik	9.87437025540826	9.68656861664692	9.49708294956557	9.83915178892693	9.78683627674185	9.49886080456303	9.66127882222611	9.58037023473087	9.65649792035752	9.87490544898783
1110046J04Rik	3.29599085122541	3.27411444504241	3.38232797364787	3.25743905076504	3.34350342872826	3.34837258861974	3.31167840996779	3.27289802840458	3.25607643566842	3.25945198235642
1110051M20Rik	7.01013231692456	6.78693784529652	6.77622843546441	7.09724675589925	6.83393472246559	7.08514130324786	7.23814025329797	7.37289063568673	7.38448551581607	7.33412512700207
1110059E24Rik	8.6768405798515	8.52258817240847	8.67726606385359	8.96118933028598	8.61268808483771	8.68909844453505	8.72422891721414	8.7531635056043	8.79068192481906	9.32400222886377
1110059G10Rik	8.77166427405608	8.6375060703203	8.51479224150053	8.64306398920545	8.6802129503971	8.72484431792665	8.64805838792853	8.59466103377769	8.72052075869343	8.53875929871879
1110065P20Rik	5.03072242066237	4.91867433781304	4.96270205015287	5.0507361470512	5.05270176766039	4.96446719886623	4.95895032828579	4.97188789076612	5.02695265193416	4.99691229631888
1190002N15Rik	9.0572310547064	9.34958612010059	9.37728702123732	8.9370833018928	9.1915799018253	9.63240810868719	9.56868147159113	9.48267513624754	9.19250134792996	9.01193242487064
1190007I07Rik	7.17975126645887	6.90287834836261	6.77540516227316	7.23308468387488	6.94875117868189	7.08892463644171	6.77696913240742	7.21263790382103	7.14870691645506	7.28215043301442
1300002E11Rik	8.82299351206895	8.73646198847704	8.89474012454403	8.99673145868143	9.01458357289711	8.98460451650326	8.92390986602508	9.06463826635572	9.10507507819596	8.87039700276557
1300014J16Rik	5.59907464603173	5.88520650691412	5.58022299188073	5.54168206878188	5.67715932941649	5.75396002935413	5.75266578669595	5.83894737446343	5.66113693513348	5.73528810687871
1300017J02Rik	3.45361891934489	3.275449469304	3.45523813587337	3.48343630315301	3.40280619277009	3.24886566058802	3.29915466437158	3.33018688605602	3.40670403237378	3.59139688419444
1500002C15Rik	6.1730944907187	6.08014606928725	6.03297804862601	5.7803137536284	6.05740651345316	6.16994451244258	6.14436553406568	5.9442269086407	6.09114813962405	5.79144651980832
1500002F19Rik	1.27020739219282	1.20866988909421	1.22359379254475	1.22951735163564	1.19019973360263	1.21381736405043	1.219967814423	1.22088408301241	1.22438040133179	1.22562298914957
1500004A13Rik	7.85953799441226	7.87343622626311	8.06905137423388	7.91730835295163	7.85885959209045	7.96979408205089	8.25756757629515	8.17478331568198	7.7961915243034	7.78524116698327
1500009L16Rik	7.65226004186645	7.41054388739516	7.61878902265401	7.65462367472985	7.63227668342059	7.43116151314595	7.48592233756601	7.58194906065104	7.55868470023446	7.30017644372043
1500011B03Rik	8.24487211124221	8.1937252623382	8.2381048413339	8.59552635906751	8.4256946735034	8.44708532907515	8.68436146690563	8.71184047746645	8.65229881587365	8.46500744867176
1500011K16Rik	6.73722477442013	6.46795589817437	6.22789922833332	6.88435191639348	6.69659011745591	6.61560882643676	6.5896294104018	6.89575988982439	6.82381234038953	6.89246413292938
1500015A07Rik	6.6085387581928	6.3723167514734	6.53954680339739	6.44043222606481	6.48118595968182	6.52184608713983	6.53341870606961	6.71106558388968	6.62236279958413	6.62987800720969
1500015O10Rik	0.154008197542173	0.189357108635488	0.170731944776131	0.167061838404008	0.185013069660205	0.178121663321491	0.152916772537904	0.169357691281752	0.177080469430436	0.153235555382009
1500026H17Rik	1.69508010870389	1.71570623631431	1.66319567679662	1.67185936216808	1.66171827068433	1.72809627468745	1.70552436978667	1.64597970820801	1.70252026997398	1.7160148268519
1520401A03Rik	1.22274708511902	1.24129942391636	1.33551891314325	1.22153872018831	1.22240180551216	1.25890721252184	1.25276119624337	1.23817897142268	1.33642702073024	1.23374480336796
1600002K03Rik	7.62259778993102	7.19819435744345	7.02089798815221	7.31557143105856	7.26662156541388	7.18615478974982	7.16217328934788	7.36465380811131	7.43621347815606	7.41812215089287
1600010M07Rik	2.99612751301644	2.98756427390634	2.98126439506844	3.08510229916478	2.91290307633998	3.00325117535349	2.93372121223855	2.95919003752602	3.04213632362521	3.17788973853754
1600012H06Rik	9.19627838946355	9.40158869838295	9.51013198632038	9.07549031995502	9.40333722890329	9.49687549736793	9.34425123711841	9.39766449384834	9.51306274068628	9.45542706922272
1600014C10Rik	11.7975568112663	11.8904235202218	11.9529355906452	11.8279765556719	11.7967370847008	11.2610666193727	11.4421975122928	11.1185073131448	11.2377161395211	11.1814477542895
1600020E01Rik	9.39125327534577	9.30243761405832	9.40073649978384	9.207708623395	9.22622895500887	9.50688232226931	9.27278794844955	9.45730630722618	9.36225353476705	9.65430123577427
1600023N17Rik	3.81389056713451	3.78553542957049	3.75913088410535	3.71304991631225	3.74855263464591	3.83064744291471	3.76901910566624	3.86216254873214	3.77176404978685	3.7455334088781
1700001G11Rik	3.89998482634759	3.8366806554416	3.88729468289754	3.8505172802308	3.91605756991994	3.88166488661484	4.01730186302921	3.91353828317514	3.96359394419492	3.92190046369841
1700001G17Rik	2.13965162993496	2.14492589599016	2.14024100415632	2.11315893551161	2.19335072263497	2.12132764999557	2.11300301223202	2.08970779327369	2.19634727237019	2.09669211806069
1700001K19Rik	2.29824220273911	2.22594967913413	2.28440171984983	2.22388131054313	2.27743513047816	2.20670703475885	2.22075453266458	2.23280261291405	2.19303432267019	2.20631827394666
1700001L05Rik	0.55364545237933	0.553927883128284	0.553676954004809	0.630508169291682	0.599251849042327	0.565056343649019	0.562818716871291	0.568764740059098	0.564463552165914	0.588951450653371
1700001O22Rik	7.50666510829564	7.05285439383819	7.27941356279414	7.00380712220703	7.26842663489563	6.44074283314532	6.74282444646135	6.51891484338873	6.37657601576738	6.39592846063017
1700001P01Rik	1.33245968594265	1.31928855556205	1.34865467359668	1.32267894606795	1.2833975538214	1.29460974008175	1.29205494640488	1.28332380715219	1.30579943505705	1.39841180100019
1700003F12Rik	0.345844654698344	0.346095172052485	0.345872600386135	0.3854444631905	0.36140329526321	0.344982277243413	0.365895125114615	0.345625213193957	0.35693801016905	0.439694122640332
1700003G18Rik	1.15285405397292	1.17079917103907	1.15290169921234	1.24154732955209	1.15254582573069	1.18796621764267	1.25064178295387	1.22658670588886	1.15120925114298	1.15134618865955
1700006J14Rik	1.29789077010795	1.24878063454406	1.24835044537769	1.37632200682024	1.26394038907877	1.24662673858008	1.24587528463236	1.24787195977909	1.32874399321818	1.31977512764545
1700007J10Rik	1.70965129440373	1.7297125615306	1.69352062633934	1.72853883876144	1.78115850333844	1.72381034801286	1.70542834084018	1.75153979855184	1.67424034393541	1.72335104901575
1700007L15Rik	5.89860533689509	5.77110319052872	5.63189515546884	5.76086789791065	5.65629327050778	5.7686476103929	5.78138523100348	5.71941301844139	5.61255602018306	5.84569703908285
1700008J07Rik	5.21584773373901	4.84323052018799	4.88278608037207	4.83824706036342	4.82609792771939	5.21212096673718	4.9535645196809	5.19330982563195	5.1864866807025	4.91590732691092
