Gene	L10.D8.Tox.WT5.Tim3n_S10	L12.D8.Tox.KO1.Tim3n_S12	L14.D8.Tox.KO2.Tim3n_S14	L16.D8.Tox.KO3.Tim3n_S1	L18.D8.Tox.KO4.Tim3n_S3	L20.D8.Tox.KO5.Tim3n_S5	L2.D8.Tox.WT1.Tim3n_S2	L4.D8.Tox.WT2.Tim3n_S4	L6.D8.Tox.WT3.Tim3n_S6	L8.D8.Tox.WT4.Tim3n_S8
0610005C13Rik	1.33624439680629	1.38000557987821	1.41053434730381	1.31132843448373	1.3218594161479	1.37140782821106	1.37264252904418	1.33315205876726	1.31703722827791	1.36376371127373
0610009B22Rik	8.34907430320497	8.36240428161501	8.3277764404186	8.05365244757463	8.23809734911865	8.23495927289144	8.24646046009663	8.13075877208117	8.42749704204701	8.44881680780532
0610009E02Rik	0.745934253934799	0.698728462887937	0.64960369976564	0.628254708287355	0.630200436519156	0.671272893517969	0.629382887284676	0.651603087839779	0.6578123928836	0.728409767702817
0610009L18Rik	5.7104121073441	5.75345995091627	5.78037431981861	5.60621949848266	5.81131433506614	5.67899953634358	5.69432601545701	5.65021901741238	5.90062342438638	5.41147429131586
0610009O20Rik	7.33881923975478	7.22773146126877	7.08159164998246	7.2134763726217	7.37575766621132	7.28922387070637	7.22294777322103	7.3864133962175	7.11780975256058	7.05727761996528
0610010F05Rik	9.48668913673954	9.28416653433218	9.61058198953832	8.91019248305903	9.24842004649215	9.15364315700698	9.25334220797036	9.13517952299187	9.2100861864178	9.38269790204898
0610010K14Rik	4.67826055676337	5.06623666569046	4.92675039264761	4.70653537234599	4.81451041553832	4.94147786941034	4.93986230760339	4.72335277622877	4.9656754769616	4.86857209963868
0610012D04Rik	0.107914911163165	0.107783622509999	0.129533351979617	0.156455358508513	0.172347045058674	0.172451957363707	0.137634660627277	0.10767424712632	0.165079605303409	0.108132317191396
0610012G03Rik	9.62078545008462	9.63986307939626	9.54137628672149	9.60942466625221	9.43853793745101	9.386027380495	9.49845393180027	9.52043175386698	9.60141302841038	9.63306456485978
0610030E20Rik	9.47810588630377	9.59554317953571	9.74482434069607	9.76060718532708	9.71506585157641	9.73024275161398	9.67947885150153	9.77984479492907	9.7331505515637	9.85336699585891
0610037L13Rik	9.40993686584456	9.25881778599401	9.12929369294935	9.33131516124322	9.11263444998011	9.42652769163653	9.31873051063561	9.18524338528697	9.14597210029579	9.43194593560801
0610038B21Rik	3.56670476715776	3.53865392488551	3.49671462221819	3.58233233638314	3.64080453980176	3.79440314164095	3.79385866256766	3.55246242019139	3.50984633752233	3.51335246260365
0610039K10Rik	2.87629609445701	2.80322915234422	3.00955928068457	2.99954333841606	2.91634961762432	2.8803885050826	2.97326166488519	2.99052380688793	2.89706495735899	3.07408014623327
0610040B10Rik	5.4708212187458	5.79019817632159	5.58929011020138	5.04486397820233	5.29988280928582	5.5073572309576	5.2375774575603	5.28612627189712	5.33076551470183	5.38908134333582
0610040F04Rik	2.61182150837585	2.60905033852766	2.77350717185977	2.81793866290642	2.66840628406251	2.72055557687662	2.62696222240796	2.77164859811788	2.70347022533936	2.66479817348142
0610040J01Rik	5.11347420576075	5.04596197836537	4.54033130570068	4.64067309374282	4.98502304501545	4.41914133972529	4.60281226472522	4.81123290351974	5.01328422100548	5.40932785686108
0610043K17Rik	1.83822604630771	1.81251736524323	1.93227659539617	1.90601739429205	1.85614941547158	1.83106890375749	1.84821396387258	1.90137628641655	1.97542736601499	1.91414785826206
1010001B22Rik	1.17065191628419	1.1201151092951	1.11701628386706	1.30075629143851	1.19376730399401	1.11716173338401	1.12666725190649	1.14312468733339	1.1548914758432	1.09569507327757
1110002J07Rik	1.24618614666751	1.29416632074917	1.24499847948441	1.2460194629348	1.31245653204897	1.40922825891044	1.2768961397342	1.24564978733299	1.3831536308752	1.43752965927349
1110002L01Rik	6.12455612879937	6.14722604178356	6.07230362891489	6.02281845530692	6.05524096013699	6.22915013172192	6.26529802935486	6.10927996807296	6.41801353283801	5.90025101825183
1110003F10Rik	3.29754192334192	3.28836091866584	3.0368874871771	3.11675178210587	3.34172086471255	3.03741746219862	3.17337422330729	3.20900078726817	3.07034396020603	3.12866117061189
1110004E09Rik	8.89279222145892	8.89232418750267	8.85193022880799	8.89928999642957	9.09153603954835	8.86269130932766	8.80177083157383	8.90330418123091	8.86727062469608	8.68508775010468
1110004F10Rik	11.3299975936468	11.3697554595062	11.3360352241811	11.2366459153971	11.3882371044987	11.2254894769626	11.2175633609883	11.1530962488451	11.1680315759238	11.1357983692893
1110006O24Rik	5.53268369708113	5.46483089189437	5.19337296215927	5.77041359328985	5.76508109260587	5.5707501044381	5.41117099173871	5.64681060663242	5.46573882275534	5.33381551054302
1110008F13Rik	9.80011778829775	9.76032452665084	9.76933074373468	9.92912081007077	9.80363556569164	9.572071508785	9.90375156029864	10.0313769870757	9.95246421432709	10.2441560189039
1110008L16Rik	8.03255373314961	8.05766877203853	8.0355303260705	7.85905444973234	8.08778856700415	7.82251967573611	8.13177662598347	8.15055661174921	8.17868022423684	8.09438835758044
1110008P14Rik	9.25005749317642	9.49918004509504	9.41179330979015	9.19001017196702	8.99529937242703	9.1942039342778	9.1584059123375	9.20933176351493	9.21946911964936	8.94765742583366
1110012L19Rik	8.26221865984068	8.48852597745488	8.22849453417762	8.42573142172029	8.37554591434111	8.33025962253337	8.56477095311068	8.1493829795442	8.32428812956995	8.03709898038879
1110019D14Rik	4.58743900736756	4.42285032447577	4.0244802387037	4.01871092466426	4.03153318060724	4.07976403950666	4.09501222398984	3.94451305902631	4.21745049778795	4.08092495353344
1110020A21Rik	3.73933985196517	3.52127246738768	3.72441483921869	3.50259713483897	3.78288157069328	3.64618137884896	3.4353937080114	3.59490517851154	3.69641580443986	3.39355055701836
1110025M09Rik	2.78710537735706	2.82012685410829	2.78060883994093	2.76316180288532	2.71123548156263	2.79958615861337	2.6965419356836	2.75606775783383	2.69518483013912	2.63392959608474
1110028F11Rik	2.2057382635346	2.03182905747256	2.08300433339775	1.93474518809853	2.00544350316559	2.00094150531104	2.05254634166308	1.95888017700914	2.1030044134607	2.04034064526338
1110032A03Rik	7.40696569078752	7.48071192047519	7.41436276305653	7.4938250548564	7.32131939701313	7.21667140948994	7.58108238825134	7.29650332281758	7.20513441278028	7.71231113374657
1110032F04Rik	4.38688011160259	4.10072200882234	4.28602516333407	4.16627258351298	4.47446476635949	4.15270426955485	4.38562575377794	4.26422840027743	4.4352998044137	4.50234882524272
1110034G24Rik	8.23748579615453	8.04743375935604	7.92128864161789	8.41989574236904	7.91159371344335	8.21264737052132	8.34764719656353	8.19147706615797	8.15809975306668	7.76522204230022
1110035H17Rik	2.19649792766727	2.26804323944678	2.00961163194883	2.25245599162092	2.11049481540886	2.0321437225669	2.07194717351115	2.10311901747198	2.12491901631928	2.03893810634117
1110038B12Rik	6.60080940632036	6.30785394882428	6.36939015509724	6.02137922452524	5.90391734211977	5.92370670209918	6.14009578463031	5.90644644519754	6.12064943348993	6.23771193886322
1110038F14Rik	9.50600521849469	9.51104832763709	9.2852322631196	9.62791291332385	9.36003252816703	9.44353010676846	9.62501286319889	9.54970514344716	9.5480477071025	9.70012050772567
1110046J04Rik	2.5823299174222	2.61522608274584	2.36676120888413	2.44638332671526	2.48190308825173	2.72644647964964	2.52040573742387	2.39469594236098	2.40956424762979	2.37509695896831
1110051M20Rik	6.93471340905851	7.24351692395365	7.13980555017546	7.25620586246731	7.06904164844214	7.55078014689064	7.34745615170134	7.0880922105254	7.16405882158809	7.13853819157447
1110059E24Rik	9.26724462184823	9.29529338007116	9.32049167317483	8.90765980965132	8.84021646475864	8.82913753762824	8.91964638356626	8.69900331933228	8.83100792442842	9.14159155062987
1110059G10Rik	8.60510577637975	8.73443045369476	8.55576204228765	8.62169325559352	8.59664153402675	8.55881547224623	8.41559240453645	8.68267612933118	8.48219471585493	8.63936060858426
1110065P20Rik	5.56067297323849	5.75291005132123	5.68511000958061	5.72116309999553	5.55308335847008	5.6386743708763	5.63342190944222	5.60788765740622	5.71785120569457	5.77767273995417
1190002N15Rik	9.08517128486585	8.97300423739741	8.94872335628216	9.00086521173026	9.07537076188702	9.11664287035387	9.08191276085867	8.80089492184744	9.02506825534238	8.90690362925288
1190007I07Rik	7.67424281721185	7.6124920192514	7.5281500915549	7.48552665724463	7.16002900420554	7.39279458572183	7.10346231069681	7.04139716501683	7.24836800687917	7.10531893514731
1200007C13Rik	1.76102139498805	1.66147076069583	1.94842991566336	1.73566409011348	1.64036166734457	1.63449240942695	1.6985278294912	1.63538157027611	1.80578826570506	1.71742498327706
1300002E11Rik	8.8048734886481	8.86790442997376	8.63489820451259	8.52898748398129	8.48049866370794	8.63227566340871	8.35214488083344	8.2672791005056	8.29427853060498	7.85522929999238
1300014J16Rik	5.69346655048477	5.97472314170406	5.43808063093996	6.38767565695754	5.43039565622898	5.65963090194633	6.1586746023063	6.19233867343971	6.01930889944434	5.67315778026566
1300017J02Rik	5.80366669380234	5.28376067272523	5.19968381618001	5.46144986151508	5.20313582079453	5.01656720342644	4.67926271103475	5.37872949021972	5.37871928106782	5.62463381399237
1500002C15Rik	4.8722077994406	5.03973973964779	4.77983114638932	4.74762463496968	4.95764666761967	4.49871641354481	5.15085709229627	4.97284584719949	5.0273081868828	5.23335986270607
1500002F19Rik	0.740345953747309	0.833468314373388	0.804239214006284	0.740230189643428	0.74235646808139	0.7395504118771	0.877214978122897	0.786774403088422	0.741381189831831	0.841003160405585
1500004A13Rik	6.83818330254757	7.38874919949289	7.34417678283184	7.66348486747852	7.55809492984084	7.53587542298847	7.62737586841026	7.3584800833395	7.53245525105879	6.95446859450541
1500009L16Rik	9.16867242887268	9.87950905815723	9.8118610131629	9.358979368973	10.034591653856	9.93884998352132	9.39172812607293	8.97012273902951	9.18413842658651	8.47444899439611
1500011B03Rik	8.93620971843037	9.28305181872929	9.02611025677781	8.58812140769408	8.66731705874513	8.56871987510549	8.65517534293368	8.66976180897161	8.4482775292301	8.3526271869087
1500011K16Rik	7.3281315690132	7.26900686562937	7.27718483529485	7.2095556975364	6.72879309425116	6.97512297184465	7.26658030010994	7.15087414457886	7.160727859157	7.32574543061366
1500015A07Rik	7.13661517297892	7.12953403431958	6.99443136293084	7.04640927817772	7.36009786508598	6.95402711855106	7.00874784053268	7.01014805729151	6.95394802517921	6.74945746577705
1500026H17Rik	1.69338608736361	1.73549966802179	1.66237383160816	1.69201102631053	1.62372433082589	1.66262879534816	1.73306111837214	1.79362163547769	1.70561811944461	1.72155119869149
1520401A03Rik	1.27974406194969	1.02614202053999	1.1767016685951	1.05224936089032	1.02915148103752	1.02533322311163	1.11636951832589	1.0752810869393	1.02782814687662	1.02687754091647
1600002K03Rik	7.15938162658922	7.17821944153851	7.11541274714591	7.09300728007125	7.00525738551643	7.17762718368783	7.09178396880703	7.03365486752155	6.97366339960187	6.79488249349809
1600010M07Rik	5.89317495381194	5.51282459799689	5.51992583749462	5.44040150711033	5.1377379053357	4.77401126309647	5.19683568725163	5.92681659270306	5.89920493276578	6.52051281324329
1600012H06Rik	9.445383719166	9.38630519124397	9.46599410228714	9.33942977276145	9.32091386996961	9.35146875735285	9.40181292283974	9.49132995377667	9.41012893038434	9.6425354782834
1600014C10Rik	11.2193822972313	10.9837574346218	11.014673646329	11.0924018076752	10.6454179523183	10.408915838266	11.2385197538214	11.4870843747183	11.525563678362	12.0674778027674
1600020E01Rik	9.33856649035449	9.47982743849579	9.08710152020551	9.12535317694986	9.00446228170245	8.96721258936472	9.38222300244411	9.13656043731103	9.16375304996875	9.03171545940643
1600023N17Rik	3.02369355949802	3.01769339719074	3.16231379339291	2.90417497833311	2.99727611896932	3.01979889905356	3.33167107776434	2.92389101906693	2.89290353080967	3.07814613832973
1600029O15Rik	0.514517901177289	0.562318541402389	0.599013620676541	0.514418883820921	0.516237787328345	0.513837473911418	0.599599218559511	0.514199311305471	0.598716329148039	0.591171873454166
1700001G11Rik	3.34983464761185	3.5008320666167	3.45385884412479	3.25481381455335	3.3256525549603	3.59822657034253	3.56209807167974	3.49275078454284	3.40512575153129	3.21127166842105
1700001G17Rik	2.26836763736453	2.19706628245928	2.28921599208897	2.17444882214315	2.31068964526661	2.12331318936322	2.40755728715706	2.34033397597046	2.12827119881524	2.20396115659508
1700001K19Rik	1.4377835928981	1.47824502749188	1.3619049055747	1.41320269798888	1.52208981255194	1.3396287528559	1.34258551841884	1.43232997262888	1.34245879254588	1.41844347234639
1700001L05Rik	3.71672225646753	3.41942051740605	3.45512580066198	3.50328098784401	3.43741174359841	3.29578674698904	3.46252998753827	3.52934992068295	3.59269812047989	3.39158349420823
1700001O22Rik	4.80480794109102	4.64257276807026	4.43863437072591	4.79622388482786	4.83484460872748	4.78684327620312	5.13194093298656	5.09158269667143	4.73727020870882	4.79741378367007
1700001P01Rik	0.215438488872958	0.190048864719762	0.189617379270223	0.190109563748402	0.223943406719922	0.18963760083186	0.275772421135709	0.18993133223072	0.27489653531116	0.267411219634753
1700006J14Rik	4.86157131700025	4.35832211199508	4.28139814320223	4.08757708228371	3.88653032333597	4.14123134573464	3.76832302014489	3.9915748817963	4.14631937433399	4.13181583690929
