Gene	L11.D8.Tox.KO1.Tim3p_S11	L13.D8.Tox.KO2.Tim3p_S13	L15.D8.Tox.KO3.Tim3p_S15	L17.D8.Tox.KO4.Tim3p_S2	L19.D8.Tox.KO5.Tim3p_S4	L1.D8.Tox.WT1.Tim3p_S1	L3.D8.Tox.WT2.Tim3p_S3	L5.D8.Tox.WT3.Tim3p_S5	L7.D8.Tox.WT4.Tim3p_S7	L9.D8.Tox.WT5.Tim3p_S9
0610005C13Rik	1.92673060295503	1.76905408380121	1.80054199625992	1.89872859448138	1.82505773318229	1.8117914261292	1.74627170748924	1.77862194794908	2.03369453766321	1.74353501518927
0610009B22Rik	8.33455284094294	8.21857035313858	8.22227329285137	7.99400850807092	8.32804067326435	8.23756132144126	8.33723812346677	8.4087929463876	8.28820223104949	8.21587477766948
0610009E02Rik	1.68237451299619	1.63008764260472	1.71139707758143	1.55286524395997	1.60884368965798	1.64382242608109	1.69880325347058	1.7259303494008	1.65461878577732	1.60815377419536
0610009L18Rik	5.52950821806363	5.57556817908246	5.3773436849624	5.27861020907989	5.43432286063701	5.51285198309925	5.0056311884031	5.52391753205614	5.39122225695743	5.50955132753307
0610009O20Rik	7.00896753830513	7.18236246275902	7.21924445635856	7.11115957448575	7.50448876657275	7.45197980184569	7.31804814208958	7.21627873276361	7.13874581249623	7.23359766755366
0610010F05Rik	9.49241581091189	9.55346123692411	9.28198433058877	9.46044585405207	9.65724563503691	9.46452748202987	9.37538301041809	9.39795487392757	9.39897492284093	9.56708896624548
0610010K14Rik	4.53566030743525	4.70383754883741	4.56600103885051	4.38529366564853	4.18559635635331	4.6573074146015	4.37472369175636	4.3956784099794	4.31032690988834	4.78605045918292
0610012D04Rik	0.405801620233176	0.350209790535489	0.351399635675172	0.361937044271824	0.4236204862101	0.322445535875364	0.41597571963488	0.385887362442868	0.323328706774301	0.321868544507864
0610012G03Rik	9.49382517973481	9.56472620462144	9.57094377936695	9.29568287808893	9.20385512373656	9.23520801796567	9.34461712659107	9.79664403141155	9.60162289613392	9.41956218853769
0610030E20Rik	9.58548271593025	9.52530173910696	9.63437681074146	9.90691393176966	9.75773557776214	9.78778767534277	9.8181765332419	9.7945426613474	9.81909733147609	9.84473687461953
0610037L13Rik	8.95669847299774	9.100664253892	9.00685612563431	8.97147591890718	9.03453216631521	9.10640027544364	9.07624616190201	9.29527134464933	9.15456868947568	9.20161197825576
0610038B21Rik	2.9898135267546	2.86282866419414	3.22768067285633	3.0311220190596	3.07310054283485	3.07158662528661	3.01613536521426	3.06659833622813	3.10027194186207	2.89909000840418
0610039K10Rik	2.94079228663499	2.85861755054781	3.34623196609318	3.12290856368582	2.99419343957562	2.908065167632	3.18801391625795	3.07023172509384	2.98885171248852	2.95302408437066
0610040B10Rik	5.33155321633137	5.49963829503625	5.17933643409643	5.31146321466154	5.0812577836059	5.16080835022169	5.02010469245812	4.9488374548913	5.07092520616265	5.29283334432385
0610040F04Rik	3.21610637936274	2.98841713937622	2.99398611633235	3.16417367937896	3.18610192684866	3.30328776373208	3.18809645637952	3.0900716767044	3.03113949044166	3.05247072560195
0610040J01Rik	5.14374999844101	5.17951833130424	5.13361960788941	5.44518262565555	4.54007735508072	4.61561827134409	4.90372233355545	5.67182057214985	5.61935988934858	5.35187181317402
0610043K17Rik	2.07356200004248	1.94055071431296	1.94319724724071	2.00250499848555	1.8998880732942	1.88525465189663	2.01146495138061	2.22116880513829	2.09114119647312	2.13580762803196
1010001B22Rik	1.21766429538295	1.26809218191763	1.19259150559346	1.24677763717745	1.14421778928842	1.34084397502599	1.136059880717	1.13606704019141	1.13783220817917	1.30318788137724
1110002J07Rik	0.700070363869606	0.758594791022042	0.944190852627214	0.703532727025107	0.707932469607714	0.701549811728661	0.827660844025147	0.856666758538606	0.702773167710763	0.700749362982863
1110002L01Rik	6.0944643138936	5.9032568439868	5.79975347720104	5.99339237022848	5.88202036393815	6.19919315425495	5.80912235698945	5.72484764110348	5.59219165121585	5.83708503796129
1110003F10Rik	3.12501416436515	3.07796766007444	3.1325748129663	3.15721450500553	3.17920382695063	3.1871509914827	2.97200152440536	3.05631801107982	3.05401332265239	3.18784703678492
1110004E09Rik	8.74705691592926	8.68053190381894	8.71817313047368	8.88457677140243	8.62728253306069	8.65871926803728	8.61601899905025	9.19577677976319	8.70396161853233	8.71277423756341
1110004F10Rik	11.3424869726035	11.3706974971727	11.3093789539691	11.3077952860754	11.2937236386173	11.1376862055122	11.2273041188576	11.3061623653605	11.1950514009102	11.3117799854645
